,customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code
0,000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,,,ACTIVE,NONE,49,52043ee2162cf5aa7ee79974281641c6f11a68d276429a91f8ca0d4b6efa8100
1,000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,,,ACTIVE,NONE,25,2973abc54daa8a5f8ccfe9362140c63247c5eee03f1d93f4c830291c32bc3057
2,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,,,ACTIVE,NONE,24,64f17e6a330a85798e4998f62d0930d14db8db1c054af6c9090f7dd3e38380dc
3,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,,,ACTIVE,NONE,54,5d36574f52495e81f019b680c843c443bd343d5ca5b1c222539af5973a23ae6d
4,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,1,1,ACTIVE,Regularly,52,25fa5ddee9aac01b35208d01736e57942317d756b32ddd4564743b005a805b1d
5,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,,,,,,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
6,00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,,,ACTIVE,NONE,20,fe7b8e2b3fafb89ca90db17ffeeae0fd29b795d803f74961cf8f27adb16e67e4
7,00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,1,1,ACTIVE,Regularly,32,8d6f45050876d059c830a0fe63f1a4c022de279bb68ce312615afb86814fec7a
8,00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,,,ACTIVE,NONE,20,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
9,00083cda041544b2fbb0e0d2905ad17da7cf1007526fb4c73235dccbbc132280,,,ACTIVE,NONE,20,2c29ae653a9282cce4151bd87643c907644e09541abc28ae87dea0d1f6603b1c
